transport_id_bas,MobDr1to4_od30,MobDr1to6_od30,MobDr1to6_od10,MobDr1to6_od15,num,month_decision,amt_decision_w,amt_loan_w,dataloan_channel,age,id,transport_id,platform,income,debt,amountCents,risk,totalGMVAYear,costAYear,feesAyear,month,debtAYear,grossProfit,grossRate,netProfit,actualNetProfit,netProfitAfterCAP,beforeRiskamt,riskScore,afterRiskAmt,software_quota,ccrc_quota,bankflow_quota,com_quota,limit_before_loan,limit_debt,limit_after_loan,created,software,software_quota2,ccrc_income,ibs_income,comprehensive_income
204183,0,0,0,0,1,2017-09,19.1,19.054,管家婆,38,3539,204183,pgjp,112455.3296,342010.1594,0,0.894900464,0,0,0,0,0,0,0,0,0,0,0,0,0,147454.9007,30000,277365.9887,0,0,342010.1594,0,2018/4/19 16:49,pgjp,147454.9007,30000,277365.9887,0
204342,0,0,0,0,1,2017-09,21.9,21.9,管家婆,34,3540,204342,pgjp,169012.4263,0,154615.0715,0.888888889,4493396.266,3806291.247,0,0,56906.54084,0,28453.27042,0,0,169012.4263,0.888888889,154615.0715,154615.0715,169012.4263,0,233774.5033,15461507.15,154615.0715,0,0,2018/4/19 16:49,pgjp,169012.4263,0,233774.5033,154615.0715
203828,0,0,0,0,1,2017-09,30,30,管家婆,35,3533,203828,pgjp,261958.7163,1932282.905,0,0.978165671,0,0,0,0,0,0,0,0,0,0,0,0,0,262378.3213,260280.296,994249.3727,0,0,1932282.905,0,2018/4/19 16:49,pgjp,262378.3213,260280.296,994249.3727,0
204348,0,0,0,0,1,2017-09,14,14,管家婆,40,3541,204348,pgjp,126357.4116,0,107582.3262,0.870599866,0,0,0,0,0,0,0,0,0,0,0,0,0,126357.4116,0,207736.4533,10758232.62,0,0,0,2018/4/19 16:49,pgjp,126357.4116,0,207736.4533,107582.3262
204098,0,0,0,0,1,2017-09,10.6,10.6382,管家婆,29,3538,204098,pgjp,133236.7086,150946.6603,2012.030249,0.956160231,0,0,0,0,0,0,0,0,0,0,0,0,0,118790.7517,191020.5362,100504.3809,201203.0249,0,150946.6603,0,2018/4/19 16:49,pgjp,118790.7517,191020.5362,100504.3809,2012.030249
204065,0,0,0,0,1,2017-09,7.614,7.62,管家婆,39,3537,204065,pgjp,56609.00592,0,44759.53207,0.853080378,0,0,0,0,0,0,0,0,0,0,0,0,0,56609.00592,0,177752.8359,4475953.207,0,0,0,2018/4/19 16:49,pgjp,56609.00592,0,177752.8359,44759.53207
203707,0,0,0,0,1,2017-09,8,7.9729,管家婆,40,3531,203707,pgjp,93013.156,0,59191.8008,0.808571429,0,0,0,0,0,0,0,0,0,0,0,0,0,223331.8887,0,93013.156,5919180.08,0,0,0,2018/4/19 16:49,pgjp,223331.8887,0,93013.156,59191.8008
203527,0,0,0,0,1,2017-09,30,29.9999,管家婆,38,3529,203527,pgjp,208425.6613,103223.5101,151896.7241,0.978086922,8883504.34,0,0,12,206447.0202,86605.17407,0,43302.58704,0,0,208425.6613,0.978086922,255120.2342,249282.0767,45000,296321.7184,15189672.41,255120.2342,103223.5101,0,2018/4/19 16:49,pgjp,249282.0767,45000,296321.7184,151896.7241
203766,0,0,0,0,1,2017-09,3.854,3.8108,管家婆,31,3532,203766,pgjp,49557.33225,323605.6199,0,0.957256929,0,0,0,0,0,0,0,0,0,0,0,0,0,24446.66531,150000,65133.52543,0,0,323605.6199,0,2018/4/19 16:49,pgjp,24446.66531,150000,65133.52543,0
203416,0,0,0,0,1,2017-09,3.034,3,管家婆,26,3528,203416,pgjp,28120.39647,0,23475.60401,0.865814843,0,0,0,0,0,0,0,0,0,0,0,0,0,28120.39647,0,18626.93571,2347560.401,0,0,0,2018/4/19 16:49,pgjp,28120.39647,0,18626.93571,23475.60401
